Date_Time,XRS_B_Flux,Flare_Class
2010-09-06 12:38:00,2.558570884048095e-07,B2.5
2010-09-06 12:46:00,1.9041411292164412e-07,
2010-09-06 13:13:00,1.5754555704461382e-07,
2010-09-06 14:49:00,1.6838637861837924e-07,
2010-09-06 14:59:00,3.8751195461372845e-06,C3.8
2010-09-06 15:03:00,7.545958169430378e-07,
2010-09-06 15:57:00,1.7474553715146612e-07,
2010-09-06 16:00:00,1.629356916055258e-07,
2010-09-06 16:13:00,4.156144086664426e-07,B4.1
2010-09-06 16:15:00,3.9407117924383783e-07,
2010-09-06 16:27:00,5.200860755394388e-07,B5.2
2010-09-06 16:33:00,4.1678239881548507e-07,
2010-09-06 16:36:00,3.8122311707411427e-07,
2010-09-06 17:57:00,1.1115407261286236e-07,
2010-09-06 18:06:00,1.5905098393886874e-07,B1.5
2010-09-06 18:20:00,1.3075062099687784e-07,
2010-09-06 18:41:00,1.1011584888365178e-07,
2010-09-06 23:00:00,1.2737638144244556e-07,
2010-09-06 23:06:00,1.8603626017466013e-07,B1.8
2010-09-06 23:15:00,1.569182899174848e-07,
2010-09-06 23:34:00,3.701919126797293e-07,B3.7
2010-09-06 23:47:00,2.614375773646316e-07,
2010-09-07 00:06:00,1.5333617398027855e-07,
2010-09-07 00:08:00,1.5092662408733304e-07,
2010-09-07 00:16:00,2.5181640239679837e-07,B2.5
2010-09-07 00:24:00,1.8791348566082888e-07,
2010-09-07 00:37:00,1.4962883199132193e-07,
2010-09-07 01:14:00,1.7480586222973216e-07,
2010-09-07 01:23:00,2.9183578931224474e-07,B2.9
2010-09-07 01:37:00,2.2541946975707106e-07,
2010-09-07 01:44:00,1.7532498475247849e-07,
2010-09-07 03:37:00,1.0251924464910189e-07,
2010-09-07 03:45:00,1.646831293555806e-07,B1.6
2010-09-07 03:52:00,1.3107050733651704e-07,
2010-09-07 03:59:00,9.62898809575563e-08,
2010-09-07 04:23:00,8.681605123683767e-08,
2010-09-07 04:35:00,1.7391039364156313e-07,B1.7
2010-09-07 04:43:00,1.154970945549394e-07,
2010-09-07 05:06:00,1.2328379739301454e-07,
2010-09-07 05:16:00,2.4527557229703234e-07,B2.4
2010-09-07 05:18:00,2.4021420585995656e-07,
2010-09-07 08:06:00,9.849610904666406e-08,
2010-09-07 08:12:00,1.417123485225602e-07,B1.4
2010-09-07 08:31:00,8.824360975268064e-08,
2010-09-07 08:32:00,9.69387699001345e-08,
2010-09-07 08:40:00,7.016114267344165e-08,
2010-09-07 08:47:00,1.1018050116717859e-07,B1.1
2010-09-07 08:52:00,1.0057257071593995e-07,
2010-09-07 08:56:00,2.9212560548330657e-07,B2.9
2010-09-07 09:01:00,1.6559158666495932e-07,
2010-09-07 09:12:00,9.888544383329645e-08,
2010-09-07 16:49:00,8.694582476209689e-08,
2010-09-07 16:59:00,1.4910972367943032e-07,B1.4
2010-09-07 17:12:00,1.15107759768307e-07,
2010-09-07 18:45:00,8.344180457697803e-08,
2010-09-07 19:06:00,8.308275312174374e-08,
2010-09-07 19:10:00,1.2159668472122576e-07,B1.2
2010-09-07 19:15:00,1.0005345529862097e-07,
2010-09-07 20:04:00,8.123557648787028e-08,
2010-09-07 22:37:00,8.486937019824836e-08,
2010-09-07 22:46:00,1.200393455746962e-07,B1.2
2010-09-07 22:51:00,9.525165012291836e-08,
2010-09-07 23:10:00,7.786132982801064e-08,
2010-09-08 00:32:00,1.0835471897507887e-07,
2010-09-08 00:42:00,2.5024152705555025e-07,B2.5
2010-09-08 01:04:00,1.6305634176205785e-07,
2010-09-08 01:21:00,1.1075562156293017e-07,
2010-09-08 10:44:00,6.883716707761778e-08,
2010-09-08 10:54:00,1.377495379983884e-07,B1.3
2010-09-08 11:09:00,9.751821039571951e-08,
2010-09-08 11:26:00,6.637137772713686e-08,
2010-09-08 21:56:00,8.960172692695778e-08,
2010-09-08 22:04:00,1.343233861916815e-07,B1.3
2010-09-08 22:08:00,1.0257957683279528e-07,
2010-09-08 22:16:00,9.362486252939561e-08,
2010-09-08 22:22:00,1.5228474126161018e-07,B1.5
2010-09-08 22:33:00,1.2736727228457312e-07,
2010-09-08 22:39:00,1.437193617448429e-07,B1.4
2010-09-08 22:40:00,1.3450507196921535e-07,
2010-09-08 22:50:00,1.8109555810497113e-07,B1.8
2010-09-08 22:54:00,1.6932465030095045e-07,
2010-09-08 23:33:00,5.276198862702586e-06,C5.2
2010-09-09 00:12:00,2.6653842724044807e-06,
2010-09-09 04:28:00,1.666206941308701e-07,
